mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_SMOTE__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9200006484985352,0.04931598246104509,1.5484020233154296,0.030923426782051403,10,0.5,"{'KNN__n_neighbors': 10, 'SMOTE__sampling_strategy': 0.5}",0.8346975927853717,0.8316494770099903,0.8280929706255391,0.8245350489779969,0.827739746510068,0.8293429671817932,0.0034997396562989665,12
2.487600898742676,0.09866726535271342,1.5506001472473145,0.060308542335977725,10,0.75,"{'KNN__n_neighbors': 10, 'SMOTE__sampling_strategy': 0.75}",0.8501019684896529,0.8448376085771996,0.8410469353583776,0.8449829570034795,0.8477244669520889,0.8457387872761597,0.0030455590929789346,6
3.2731998443603514,0.2445993985584537,1.6686011791229247,0.15881320803023388,10,1,"{'KNN__n_neighbors': 10, 'SMOTE__sampling_strategy': 1}",0.8549909664166319,0.852516502801409,0.8506950898093099,0.850425813414524,0.8518153761649088,0.8520887497213568,0.0016363503693416067,2
1.9556008338928224,0.08501618751116333,1.5440008163452148,0.05353868915112433,20,0.5,"{'KNN__n_neighbors': 20, 'SMOTE__sampling_strategy': 0.5}",0.8438431882505687,0.8418090420125915,0.8372933591988867,0.8391762824355352,0.8416387936095668,0.8407521331014298,0.0022761488294184397,9
2.956795024871826,0.8050361654036752,1.7856009006500244,0.37236602433764776,20,0.75,"{'KNN__n_neighbors': 20, 'SMOTE__sampling_strategy': 0.75}",0.8509658371971682,0.8501631794642661,0.845973097571658,0.8490064800667076,0.8512513440351926,0.8494719876669985,0.0019149083962232852,4
4.361400604248047,1.4629482818426904,1.919201421737671,0.30931998617319284,20,1,"{'KNN__n_neighbors': 20, 'SMOTE__sampling_strategy': 1}",0.855186726781117,0.852458682294073,0.8479474111783498,0.8516077195427343,0.853315036485074,0.8521031152562696,0.0023924520607777593,1
1.952200174331665,0.06657145643528946,1.674602222442627,0.04900456611648573,30,0.5,"{'KNN__n_neighbors': 30, 'SMOTE__sampling_strategy': 0.5}",0.8470777536456818,0.8422928765962087,0.841771219127421,0.8415471350359434,0.8458635364090383,0.8437105041628588,0.0022988943985468736,7
2.849009895324707,0.35471792701597105,1.9507914066314698,0.16561272273896765,30,0.75,"{'KNN__n_neighbors': 30, 'SMOTE__sampling_strategy': 0.75}",0.8517414568849813,0.847459676744206,0.845331152301817,0.8475997522871731,0.8504090506907449,0.8485082177817844,0.0022840969231893143,5
3.1024003982543946,0.09222556912029979,1.6892020225524902,0.069471135749864,30,1,"{'KNN__n_neighbors': 30, 'SMOTE__sampling_strategy': 1}",0.8550064843245545,0.8502853145277998,0.8471352907367042,0.8499521658914242,0.8522314940199989,0.8509221499000963,0.0026108581082468604,3
1.773400115966797,0.0351365245441758,1.6200009822845458,0.027661555609578746,40,0.5,"{'KNN__n_neighbors': 40, 'SMOTE__sampling_strategy': 0.5}",0.8397904472146309,0.8355649190243521,0.8298916779379221,0.8336240660145564,0.8378542399365323,0.8353450700255987,0.0034294893393889757,11
2.358400297164917,0.25777169598782235,1.811601209640503,0.1501288925102664,40,0.75,"{'KNN__n_neighbors': 40, 'SMOTE__sampling_strategy': 0.75}",0.8451238273537997,0.8407053219628338,0.8376114486453172,0.8406824466925269,0.8441554148559572,0.841655691902087,0.0027012179155642946,8
3.2706006526947022,0.08428158473319089,1.943200159072876,0.043714008137374305,40,1,"{'KNN__n_neighbors': 40, 'SMOTE__sampling_strategy': 1}",0.8441260500919857,0.8387852481826891,0.8371898996677226,0.8390695374105105,0.8420587333656787,0.8402458937437174,0.002497935157369091,10
1.9981989860534668,0.0704950257045974,1.886402702331543,0.04448237912078162,50,0.5,"{'KNN__n_neighbors': 50, 'SMOTE__sampling_strategy': 0.5}",0.8137782271210839,0.812689991447155,0.8044472042592874,0.8053788764469249,0.8135678022674467,0.8099724203083797,0.004157518188000435,15
2.5240010738372805,0.04787063099467041,1.987799072265625,0.11884479488640581,50,0.75,"{'KNN__n_neighbors': 50, 'SMOTE__sampling_strategy': 0.75}",0.8224220408808237,0.8172829196134888,0.8135837603804844,0.8178310993316098,0.820497244074109,0.8183234128561031,0.0030104351258037603,13
3.6505990028381348,0.26944111495759493,2.2092020511627197,0.15314323281978895,50,1,"{'KNN__n_neighbors': 50, 'SMOTE__sampling_strategy': 1}",0.816004877384645,0.8139704107288811,0.8080460269528505,0.8130701505238953,0.816082076732508,0.813434708464556,0.0029350330446742336,14
1.9813986778259278,0.082116072047812,2.078603458404541,0.14979433048296675,60,0.5,"{'KNN__n_neighbors': 60, 'SMOTE__sampling_strategy': 0.5}",0.7767947939650666,0.7731798740282688,0.7667545435698059,0.7676291554456994,0.7786242282777227,0.7725965190573126,0.004756100766713021,21
2.567601442337036,0.22564595948384064,2.072599267959595,0.1201762609707253,60,0.75,"{'KNN__n_neighbors': 60, 'SMOTE__sampling_strategy': 0.75}",0.7977445359806856,0.7944369525881005,0.7864923826160094,0.7949138409407938,0.7924460327460479,0.7932067489743273,0.0037597999840967167,16
3.6288018226623535,0.1653143075071018,2.3828005313873293,0.11482465808857859,60,1,"{'KNN__n_neighbors': 60, 'SMOTE__sampling_strategy': 1}",0.7949659064670228,0.7884337092596515,0.7862965269513755,0.7914109010272465,0.7927059220155177,0.7907625931441629,0.0030735686258659104,17
