mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ADASYN__sampling_strategy,param_KNN__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.479798173904419,0.15041579162679075,1.5330098152160645,0.11463029632388563,0.5,10,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 10}",0.8332349228472344,0.8302443071614023,0.8253190080436935,0.829867941921051,0.8281271665820484,0.829358669311086,0.0026040167663275403,10
3.8481990337371825,0.4441805857228425,2.031401348114014,0.9376009968573343,0.5,20,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 20}",0.8472322061962079,0.8433276770155327,0.8416967255829471,0.842855767355923,0.843553767174081,0.8437332286649383,0.0018631589026781483,7
3.782302141189575,0.08908037587590507,1.6688011169433594,0.05465534560577242,0.5,30,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 30}",0.8428251874103141,0.8384691411330141,0.8345119539676831,0.8419887322311774,0.8429172530267444,0.8401424535537867,0.003249855937154666,8
3.9495990753173826,0.2564643542605011,1.8440032005310059,0.0530486596559333,0.5,40,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 40}",0.8240529785921947,0.8162998517635546,0.8140924084708346,0.8222714778097744,0.8237256776230512,0.8200884788518821,0.0040992319468645625,12
3.9769996643066405,0.18034316255554764,2.100401210784912,0.09749324794264097,0.5,50,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 50}",0.7892211210671707,0.7854166479290569,0.7813102871360712,0.7824477385208198,0.7930732938698586,0.7862938177045955,0.004357240660838493,15
3.8144065380096435,0.6247109231108213,2.057192897796631,0.3741169377297431,0.5,60,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 60}",0.7479145664243247,0.7472368269187544,0.7381414457406723,0.7377105766886567,0.7505561201240922,0.7443119071793001,0.005332479030061183,22
4.046999931335449,0.20426181362809323,2.30900092124939,0.3665933551524383,0.5,70,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 70}",0.7212941672912143,0.7099966757772372,0.7093751366161988,0.7107389518228591,0.7201352631117355,0.7143080389238491,0.005261602253960884,26
4.412807273864746,0.30370656685332675,2.4455939292907716,0.1591695114085521,0.5,80,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 80}",0.6968570204405161,0.6887978052067161,0.6892747533801027,0.6885434292670719,0.6978559269370535,0.6922657870462919,0.004175121937068373,28
4.447599649429321,0.4278017000184279,2.983809566497803,0.551115653692701,0.5,90,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 90}",0.6707784962198637,0.6708428107760614,0.6576746052244449,0.6712214339718993,0.6749842631549162,0.6691003218694371,0.005924853064742928,29
4.476813220977784,0.4790374301064752,2.544987106323242,0.15687033662229583,0.5,100,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 100}",0.6494848490486844,0.658530675357013,0.6433718446854522,0.6512291367787302,0.6540544603462347,0.6513341932432228,0.005020344874445744,30
4.736999034881592,0.4217616514387823,2.1644032478332518,0.3434380477287964,0.75,10,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 10}",0.8488552824944414,0.8431580605069646,0.8483315457564695,0.8481537938335169,0.8467986952432217,0.8470594755669228,0.0020654134406436313,5
5.420199775695801,0.6655706430328032,1.9548012733459472,0.18573263364454456,0.75,20,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 20}",0.8531581804028293,0.8506165855355169,0.8497978817817622,0.8520180039699493,0.8516128824616582,0.8514407068303432,0.0011567784538480772,3
4.304600954055786,0.10382718027804061,1.7328011512756347,0.056444153261340654,0.75,30,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 30}",0.8491464267630642,0.8459594098771734,0.8435879631305903,0.8480239162496771,0.84754886065778,0.8468533153356569,0.0019273838126008128,6
4.811799049377441,1.0264087262701096,1.9712086200714112,0.2529368988851472,0.75,40,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 40}",0.8317328340697641,0.8296095110908183,0.8248281284405489,0.8316024815268079,0.8320785428821318,0.8299702996020141,0.00271246485387027,9
4.717601251602173,0.4039851914421179,2.041199493408203,0.12011279003661714,0.75,50,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 50}",0.8016793930774453,0.7985327898163418,0.7978715900261525,0.8004253574684371,0.8042472584900513,0.8005512777756856,0.0022892703455825764,13
4.1903997421264645,0.15428164321345741,2.105800676345825,0.20796372454256326,0.75,60,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 60}",0.7753984281540348,0.7741057286743463,0.7651950738511969,0.7747655833655848,0.7814541113060951,0.7741837850702515,0.0052052764159750626,16
5.067000770568848,1.8355637365025943,2.0374006271362304,0.06474049699725437,0.75,70,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 70}",0.7597430684523198,0.7550657027476294,0.7508253294679833,0.7576179874486088,0.7671199709481882,0.7580744118129459,0.005411402837221012,19
4.764600515365601,1.241578270353739,2.110601568222046,0.13448690348026562,0.75,80,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 80}",0.7491366584915173,0.744540727339881,0.744778746797314,0.744166840328485,0.7508486631794838,0.7466943272273362,0.002753874364973775,21
5.253800249099731,0.8243532392856054,2.834999752044678,0.6434935535980453,0.75,90,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 90}",0.7329408583058077,0.7307404860265393,0.729375479916782,0.7244410033925072,0.7372250611571216,0.7309445777597515,0.004200709672182992,24
4.066199493408203,0.3377898803780749,2.2204009532928466,0.12375852589704457,0.75,100,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 100}",0.7108607792094103,0.7108322061395759,0.7083288744488081,0.70630467497615,0.72111722347071,0.7114887516489308,0.005106708252535515,27
4.64620041847229,0.2901480700016818,1.5272011756896973,0.10137577095915361,1,10,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 10}",0.8543834952768294,0.8524916741487326,0.851250405322661,0.8553458739963486,0.8534888324052149,0.8533920562299573,0.0014287811152825366,2
5.328800964355469,0.3908545327112928,2.0088019371032715,0.21873585615814248,1,20,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 20}",0.8575785747684211,0.8537041872144198,0.853579619317202,0.8564955956949035,0.8567304079295998,0.8556176769849092,0.0016534299920274637,1
6.486800718307495,1.3605524743539081,2.2839991092681884,0.4847189193181982,1,30,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 30}",0.8524590027118596,0.8484954384168899,0.84642502060474,0.8505087553717825,0.8494788536228001,0.8494734141456144,0.0020117077240706842,4
5.561000156402588,0.5570270315586494,2.1904015064239504,0.304815851470698,1,40,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 40}",0.8295396302070247,0.8299268327474518,0.8251517831112741,0.8291381599786081,0.830282182351078,0.8288077176790873,0.0018674694231062899,11
5.372799348831177,0.4876616053373706,2.0826014041900636,0.16214565941977793,1,50,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 50}",0.7944403430553778,0.7948875084313655,0.7872090896339048,0.7941610605413261,0.7948644914819885,0.7931124986287925,0.002964220957466924,14
5.7947522640228275,0.9419032684077032,2.47531418800354,0.3574520865782153,1,60,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 60}",0.7731564947072086,0.7719414853634162,0.7624326440233111,0.7716727937774623,0.7747987065077722,0.7708004248758341,0.004327126621473092,17
4.965011215209961,0.27274600964027124,2.277189111709595,0.1609504538854921,1,70,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 70}",0.76422909257735,0.7589311670388518,0.7545878233965249,0.7617575756112829,0.7653348079166188,0.7609680933081255,0.0038776928136262747,18
5.463800048828125,0.5894411990137653,2.5101995944976805,0.22047247639369577,1,80,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 80}",0.7568706235913587,0.7529940601770386,0.7457426704655021,0.7523222407014488,0.7574321894182423,0.753072356870718,0.004188748676204517,20
4.851799345016479,0.1488436515881198,2.4424007415771483,0.20963455307261855,1,90,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 90}",0.7379166708240255,0.7355267118113471,0.7350346425154707,0.7353449540580677,0.7435313319445751,0.7374708622306972,0.0031988251395500583,23
5.409599637985229,0.38328236004973104,2.6620014667510987,0.12447121794086823,1,100,"{'ADASYN__sampling_strategy': 1, 'KNN__n_neighbors': 100}",0.7235779450655031,0.7197113332315099,0.7195587595155277,0.7139870983349652,0.7275609485931516,0.7208792169481316,0.004528521401348928,25
