mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ADASYN__sampling_strategy,param_KNN__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.272000360488891,0.2301612983925064,1.8707994937896728,0.05860153370183717,0.5,10,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 10}",0.8332349228472344,0.8302443071614023,0.8253190080436935,0.829867941921051,0.8281271665820484,0.829358669311086,0.0026040167663275403,10
4.57920470237732,0.24976486452921176,2.143795299530029,0.2066147843038558,0.5,20,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 20}",0.8472322061962079,0.8433276770155327,0.8416967255829471,0.842855767355923,0.843553767174081,0.8437332286649383,0.0018631589026781483,7
4.1377979755401615,0.34196424693819627,2.0690024375915526,0.0981868749608217,0.5,30,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 30}",0.8428251874103141,0.8384691411330141,0.8345119539676831,0.8419887322311774,0.8429172530267444,0.8401424535537867,0.003249855937154666,8
4.040599155426025,0.1630547766752533,2.1334016799926756,0.15764179331558595,0.5,40,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 40}",0.8240529785921947,0.8162998517635546,0.8140924084708346,0.8222714778097744,0.8237256776230512,0.8200884788518821,0.0040992319468645625,12
4.085799598693848,0.3129511093650921,2.3481993198394777,0.3138975545938613,0.5,50,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 50}",0.7892211210671707,0.7854166479290569,0.7813102871360712,0.7824477385208198,0.7930732938698586,0.7862938177045955,0.004357240660838493,15
4.2184004306793215,0.6399154295782457,2.2364015579223633,0.11256701627607571,0.5,60,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 60}",0.7479145664243247,0.7472368269187544,0.7381414457406723,0.7377105766886567,0.7505561201240922,0.7443119071793001,0.005332479030061183,22
4.1939982891082765,0.3161084036611187,2.4138025283813476,0.10779860378451404,0.5,70,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 70}",0.7212941672912143,0.7099966757772372,0.7093751366161988,0.7107389518228591,0.7201352631117355,0.7143080389238491,0.005261602253960884,26
4.196799993515015,0.5011573385857486,2.516599702835083,0.17647300625980233,0.5,80,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 80}",0.6968570204405161,0.6887978052067161,0.6892747533801027,0.6885434292670719,0.6978559269370535,0.6922657870462919,0.004175121937068373,28
3.9911997318267822,0.13310536193692638,2.5296016216278074,0.05047836867231233,0.5,90,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 90}",0.6707784962198637,0.6708428107760614,0.6576746052244449,0.6712214339718993,0.6749842631549162,0.6691003218694371,0.005924853064742928,29
4.203598546981811,0.459838022926652,3.0226024627685546,0.37375465662311735,0.5,100,"{'ADASYN__sampling_strategy': 0.5, 'KNN__n_neighbors': 100}",0.6494848490486844,0.658530675357013,0.6433718446854522,0.6512291367787302,0.6540544603462347,0.6513341932432228,0.005020344874445744,30
5.003399896621704,0.7740993360247906,1.9972009181976318,0.2653615504154498,0.75,10,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 10}",0.8488552824944414,0.8431580605069646,0.8483315457564695,0.8481537938335169,0.8467986952432217,0.8470594755669228,0.0020654134406436313,5
4.554599905014038,0.1342740440438703,1.9116007328033446,0.08138389646073006,0.75,20,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 20}",0.8531581804028293,0.8506165855355169,0.8497978817817622,0.8520180039699493,0.8516128824616582,0.8514407068303432,0.0011567784538480772,3
4.776210021972656,0.41248890887650524,2.153990602493286,0.1554920914149488,0.75,30,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 30}",0.8491464267630642,0.8459594098771734,0.8435879631305903,0.8480239162496771,0.84754886065778,0.8468533153356569,0.0019273838126008128,6
4.260200643539429,0.08292059309703066,1.982602310180664,0.06972835577361215,0.75,40,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 40}",0.8317328340697641,0.8296095110908183,0.8248281284405489,0.8316024815268079,0.8320785428821318,0.8299702996020141,0.00271246485387027,9
4.148001432418823,0.13130568774920662,2.10860013961792,0.05359439570621331,0.75,50,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 50}",0.8016793930774453,0.7985327898163418,0.7978715900261525,0.8004253574684371,0.8042472584900513,0.8005512777756856,0.0022892703455825764,13
4.16059980392456,0.13424264908543412,2.187400770187378,0.13381918501822815,0.75,60,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 60}",0.7753984281540348,0.7741057286743463,0.7651950738511969,0.7747655833655848,0.7814541113060951,0.7741837850702515,0.0052052764159750626,16
4.209996128082276,0.16719513264075217,2.297400712966919,0.11307763884188292,0.75,70,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 70}",0.7597430684523198,0.7550657027476294,0.7508253294679833,0.7576179874486088,0.7671199709481882,0.7580744118129459,0.005411402837221012,19
4.167600011825561,0.18240767600324367,2.273802614212036,0.02282468479826915,0.75,80,"{'ADASYN__sampling_strategy': 0.75, 'KNN__n_neighbors': 80}",0.7491366584915173,0.744540727339881,0.744778746797314,0.744166840328485,0.7508486631794838,0.7466943272273362,0.002753874364973775,21
