mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SMOTE__sampling_strategy,param_tree__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7449995994567871,0.035349509916984156,0.021201276779174806,0.002041522751671559,0.5,1,"{'SMOTE__sampling_strategy': 0.5, 'tree__max_features': 1}",0.8600754042903093,0.850843128362249,0.8482626174362902,0.8471175893003936,0.8558031611010402,0.8524203800980565,0.004856684184329606,14
0.8857990264892578,0.04849426835297848,0.021202659606933592,0.002227231514239955,0.5,3,"{'SMOTE__sampling_strategy': 0.5, 'tree__max_features': 3}",0.8561923132950334,0.8528601881354645,0.8438526800645082,0.8493680184931733,0.8553368221255081,0.8515220044227375,0.004508071565836449,16
1.3029994010925292,0.13502034136885233,0.021601533889770506,0.002939190942506325,0.5,5,"{'SMOTE__sampling_strategy': 0.5, 'tree__max_features': 5}",0.8542970681675652,0.8496094639968552,0.8478620553888669,0.8496244211160969,0.8539245291216789,0.8510635075582126,0.0025719979416706507,17
1.4051981925964356,0.11270222413528168,0.019601821899414062,0.0017425912531083844,0.5,7,"{'SMOTE__sampling_strategy': 0.5, 'tree__max_features': 7}",0.8536345596842249,0.8517094933478697,0.8460243244555267,0.8443460405507721,0.851417965509556,0.8494264767095899,0.0035852929156797234,18
1.6364002227783203,0.06983068542083327,0.03180208206176758,0.02560697651795014,0.5,9,"{'SMOTE__sampling_strategy': 0.5, 'tree__max_features': 9}",0.8576988208573291,0.8516899106050024,0.8502544983775024,0.8452606818110501,0.8574027943058234,0.8524613411913414,0.004672556216885315,13
2.0210004806518556,0.07639971175645864,0.02140073776245117,0.0020611993431148535,0.5,11,"{'SMOTE__sampling_strategy': 0.5, 'tree__max_features': 11}",0.8580067647050211,0.8481377701996569,0.8483823032840725,0.8507791716317854,0.855113743797457,0.8520839507235985,0.0038790811927943585,15
1.203803014755249,0.14595872898389398,0.022598695755004884,0.004175783607885935,0.75,1,"{'SMOTE__sampling_strategy': 0.75, 'tree__max_features': 1}",0.8604331060396362,0.8601410005176536,0.8529009301568375,0.8523826937884855,0.8624050592850605,0.8576525579575346,0.004167961084189978,9
1.4327999114990235,0.07032495033056668,0.02280111312866211,0.0033086295274725955,0.75,3,"{'SMOTE__sampling_strategy': 0.75, 'tree__max_features': 3}",0.8613830479065352,0.8594256640831878,0.855141502868035,0.8529645614563026,0.8594481818613383,0.8576725916350798,0.0031165823561465403,8
1.7111991405487061,0.1074375256514915,0.02320065498352051,0.003487375184253034,0.75,5,"{'SMOTE__sampling_strategy': 0.75, 'tree__max_features': 5}",0.8593843227371345,0.8557955131241599,0.8503491742414064,0.853938408656968,0.8596119201472116,0.8558158677813761,0.003480054300475244,11
2.097398853302002,0.10113759653642086,0.024602746963500975,0.0026534319539850033,0.75,7,"{'SMOTE__sampling_strategy': 0.75, 'tree__max_features': 7}",0.8610803835007463,0.8555770664352227,0.847717493658997,0.8545653345263029,0.8576933928852563,0.8553267342013051,0.004410181196060308,12
2.277800273895264,0.5008560915269632,0.021201467514038085,0.0024817251843937157,0.75,9,"{'SMOTE__sampling_strategy': 0.75, 'tree__max_features': 9}",0.8642534175034593,0.8576724236478133,0.8517333058692867,0.853183214425276,0.8628650954764516,0.8579414913844575,0.005006744512043622,5
2.336600685119629,0.047923160115599855,0.022602367401123046,0.003774174060680614,0.75,11,"{'SMOTE__sampling_strategy': 0.75, 'tree__max_features': 11}",0.8618376685847446,0.8568029550806081,0.8536421107514501,0.8548647838238911,0.8621573732785018,0.8578609783038391,0.003526145581104767,6
1.999999713897705,0.39999400050506806,0.034801673889160153,0.002927648056728386,1,1,"{'SMOTE__sampling_strategy': 1, 'tree__max_features': 1}",0.863104291272704,0.8600499683341534,0.8520442208699398,0.862015962940702,0.8626849297212749,0.8599798746277548,0.004103765873924463,1
2.0921985626220705,0.20968906944415752,0.032802248001098634,0.00462114074124128,1,3,"{'SMOTE__sampling_strategy': 1, 'tree__max_features': 3}",0.8652987768065898,0.860533482499984,0.8559460465585323,0.8574917708436425,0.8590549283614827,0.8596650010140461,0.0032068498570782086,2
2.2035999298095703,0.293859860870195,0.023800468444824217,0.0022278060885374145,1,5,"{'SMOTE__sampling_strategy': 1, 'tree__max_features': 5}",0.8611431630321987,0.8604688475259996,0.8520174675627885,0.8550336850286885,0.8603345276438772,0.8577995381587105,0.003628043423000627,7
2.343199682235718,0.11362252268976586,0.022400426864624023,0.0030711153458791345,1,7,"{'SMOTE__sampling_strategy': 1, 'tree__max_features': 7}",0.862827096355165,0.859512985381624,0.8545144428969098,0.8550412617798366,0.8627464153920963,0.8589284403611263,0.0035975457110341024,4
2.778997707366943,0.2732057010299457,0.02160201072692871,0.0018549238413785693,1,9,"{'SMOTE__sampling_strategy': 1, 'tree__max_features': 9}",0.861978138252093,0.8610129653629639,0.8558868406181449,0.8567238369418786,0.8622228820030303,0.8595649326356222,0.002705004273437025,3
2.7739994525909424,0.09990421124226183,0.022803592681884765,0.002783970506620901,1,11,"{'SMOTE__sampling_strategy': 1, 'tree__max_features': 11}",0.8617292295186958,0.8562818439858823,0.8511460070789654,0.8539757560055476,0.8614462314849012,0.8569158136147985,0.004148015970043554,10
