mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RandomForestClassifier__n_estimators,param_ada__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25.668677473068236,1.0471662647247089,1.023560094833374,0.006235553282277307,100,0.5,"{'RandomForestClassifier__n_estimators': 100, 'ada__sampling_strategy': 0.5}",0.8478630044960354,0.8449659172718086,0.8421794920277826,0.840027292396348,0.8499256807878535,0.8449922773959656,0.0036095172957115247,12
30.197523498535155,0.22408371319137196,1.067327880859375,0.012187191134842172,100,0.75,"{'RandomForestClassifier__n_estimators': 100, 'ada__sampling_strategy': 0.75}",0.8573308806419825,0.8483235789838153,0.8481078639703624,0.8493283914141597,0.8582788142505146,0.8522739058521669,0.004544644354174595,6
34.22615485191345,0.3741452668861517,1.0741094589233398,0.01892478828717062,100,1,"{'RandomForestClassifier__n_estimators': 100, 'ada__sampling_strategy': 1}",0.8590123512189375,0.8536187213585154,0.8504268191779506,0.8524627525572542,0.8588451261106647,0.8548731540846646,0.003465921112262648,5
48.98512125015259,0.6341814925492927,2.025047016143799,0.02342647223115467,200,0.5,"{'RandomForestClassifier__n_estimators': 200, 'ada__sampling_strategy': 0.5}",0.8476690995740821,0.8434715371501583,0.8421913600362181,0.8407005504342081,0.8491425933837932,0.8446350281156919,0.0032350911516191455,13
58.344328546524046,0.8718068794339541,2.0831285953521728,0.027596906028612804,200,0.75,"{'RandomForestClassifier__n_estimators': 200, 'ada__sampling_strategy': 0.75}",0.8560207742797453,0.8498502765924576,0.848356689842138,0.8489545826738878,0.8565090058739266,0.851938265852431,0.0035678646437438456,8
67.30672235488892,0.5329280582023304,2.124642086029053,0.01621514816451463,200,1,"{'RandomForestClassifier__n_estimators': 200, 'ada__sampling_strategy': 1}",0.8592451012088387,0.8537619741896618,0.8511517064050502,0.854161486985019,0.8602562792492768,0.8557153096075693,0.0034680309174672723,1
72.57774457931518,1.0857502076179741,3.0606509685516357,0.019424650566218827,300,0.5,"{'RandomForestClassifier__n_estimators': 300, 'ada__sampling_strategy': 0.5}",0.8493272429910117,0.8439187025261462,0.8413683773495639,0.8405852899455036,0.8501842290394208,0.8450767683703294,0.003985457260852588,11
86.05962457656861,1.2969163620324475,3.1148979663848877,0.020665436180653154,300,0.75,"{'RandomForestClassifier__n_estimators': 300, 'ada__sampling_strategy': 0.75}",0.8571422551619324,0.8492974553142187,0.8492076998029507,0.848214541944492,0.8566199751053437,0.8520963854657875,0.003928635595049188,7
98.27884492874145,1.962130077471524,3.148427867889404,0.033673020936594,300,1,"{'RandomForestClassifier__n_estimators': 300, 'ada__sampling_strategy': 1}",0.8588647466671538,0.8535226966188048,0.8505969943497552,0.8515729871790644,0.8601711916633745,0.8549457232956306,0.0038723651978727516,4
95.72567744255066,1.2939980673809164,4.062200403213501,0.040000657791447944,400,0.5,"{'RandomForestClassifier__n_estimators': 400, 'ada__sampling_strategy': 0.5}",0.8484394398199919,0.8434348679425292,0.8415763021753188,0.8407005504342081,0.8473005711931654,0.8442903463130428,0.0030744412186264275,14
115.14097838401794,1.9936214421598069,4.22129077911377,0.015167501125294466,400,0.75,"{'RandomForestClassifier__n_estimators': 400, 'ada__sampling_strategy': 0.75}",0.8561758341337506,0.849552891628572,0.849237872705753,0.848952437045244,0.8555503121755575,0.8518938695377754,0.0032524241856125564,9
131.50785250663756,2.858459426318545,4.234977197647095,0.03532370012421967,400,1,"{'RandomForestClassifier__n_estimators': 400, 'ada__sampling_strategy': 1}",0.8587171421153704,0.8537737812125207,0.8507790375299953,0.8529722723092409,0.8599449619432529,0.855237439022076,0.003504845901202633,2
121.85148434638977,1.7936744399536797,5.125737428665161,0.03692938092487509,500,0.5,"{'RandomForestClassifier__n_estimators': 500, 'ada__sampling_strategy': 0.5}",0.8478167041258655,0.8426806864401153,0.8402782638967673,0.8408944616228837,0.8482668416426825,0.8439873915456628,0.003406131225471737,15
141.54947834014894,2.7798743681981173,5.218695592880249,0.05995180561546454,500,0.75,"{'RandomForestClassifier__n_estimators': 500, 'ada__sampling_strategy': 0.75}",0.85609504041627,0.8493018070348559,0.8479376887985579,0.8487036111734685,0.8561406282561592,0.8516357551358624,0.003685093855834139,10
166.88842425346374,2.359183099471437,5.3202962398529055,0.03972921425056653,500,1,"{'RandomForestClassifier__n_estimators': 500, 'ada__sampling_strategy': 1}",0.8597687085816699,0.853409585414332,0.8496447375373172,0.8516214649762331,0.860959710189939,0.8550808413398983,0.0044910756836000106,3
