mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__n_estimators,param_SVR__proportion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29.460708999633788,0.8238325714785067,0.9137362957000732,0.006621538061235329,100,0.5,"{'RF__n_estimators': 100, 'SVR__proportion': 0.5}",0.8347115086043615,0.8296078084056032,0.8205988261802099,0.8232422406692645,0.831173758103436,0.827866828392575,0.005196674138129094,12
34.85108122825623,0.7792973812503985,0.9168046951293946,0.002909393583545951,100,0.75,"{'RF__n_estimators': 100, 'SVR__proportion': 0.75}",0.8348774477599598,0.8291973122372449,0.8203704508314446,0.8237194418898054,0.8313396420179531,0.8279008589472815,0.005222453572814159,10
40.740931844711305,1.301157672457714,0.9292463302612305,0.003526673556119763,100,1,"{'RF__n_estimators': 100, 'SVR__proportion': 1}",0.8349464344545812,0.8299235279733037,0.8207991742548165,0.8236752553499239,0.8312750049550612,0.8281238793975373,0.005160564816504832,2
55.100336408615114,1.1986731251788327,1.8086513042449952,0.00915391107024041,200,0.5,"{'RF__n_estimators': 200, 'SVR__proportion': 0.5}",0.8346446977700585,0.8292597713509107,0.8203844644685238,0.8234727616466735,0.8310423383490085,0.827760806717035,0.00516141562650738,13
63.50410199165344,0.8187489646760738,1.8219174861907959,0.015641234171505574,200,0.75,"{'RF__n_estimators': 200, 'SVR__proportion': 0.75}",0.835008893568247,0.8298545412786821,0.8205988261802099,0.823786224581341,0.8317522061756021,0.8282001383568163,0.005272114641581176,1
78.69622459411622,0.534440233576578,1.8319282531738281,0.015404893071366318,200,1,"{'RF__n_estimators': 200, 'SVR__proportion': 1}",0.8353569306229397,0.8292619472112295,0.8203521459370778,0.823786224581341,0.8312588456893383,0.8280032188083852,0.005340084969822283,8
85.03628554344178,2.271498830336725,2.7128884315490724,0.008457669117081285,300,0.5,"{'RF__n_estimators': 300, 'SVR__proportion': 0.5}",0.8346953498608654,0.8290776734518163,0.8203844644685238,0.8233715147950483,0.831173758103436,0.8277405521359379,0.005198932988221074,14
94.84642539024352,2.7377178065081282,2.7311782836914062,0.018161112274625038,300,0.75,"{'RF__n_estimators': 300, 'SVR__proportion': 0.75}",0.8349765760812546,0.8293265821852137,0.8204512471600593,0.8239338036014914,0.8313881198151221,0.8280152657686282,0.0052043875214011675,5
116.9528754711151,1.2282031449212867,2.763764810562134,0.019150736724455716,300,1,"{'RF__n_estimators': 300, 'SVR__proportion': 1}",0.8346813669776878,0.8297899063046976,0.8204350878943364,0.8238530072728765,0.8313741061780427,0.8280266949255282,0.005170123838378072,4
114.7525285243988,0.741924017438526,3.6218913555145265,0.016038253993443403,400,0.5,"{'RF__n_estimators': 400, 'SVR__proportion': 0.5}",0.8344787586144602,0.8291121667991271,0.8201862620225607,0.8234382974865838,0.8312222359006048,0.8276875441646674,0.0051955658041927776,15
126.41747870445252,5.459811514092285,3.6288116455078123,0.02012719466767269,400,0.75,"{'RF__n_estimators': 400, 'SVR__proportion': 0.75}",0.834729843208176,0.8298222237916898,0.8206149854459327,0.8238347023785099,0.8310261790832855,0.8280055867815188,0.005092289017259056,7
151.60183463096618,4.657535677114253,3.631546068191528,0.01784003805290407,400,1,"{'RF__n_estimators': 400, 'SVR__proportion': 1}",0.8349442585942626,0.8294278863668275,0.8207808693604498,0.8237700653156179,0.8314549025066574,0.828075596428763,0.005141547602733864,3
141.68037204742433,0.5468742506416144,4.507682752609253,0.017297388178501277,500,0.5,"{'RF__n_estimators': 500, 'SVR__proportion': 0.5}",0.8345962215395701,0.829737078353572,0.8204006237342467,0.8235535579752883,0.8310584976147315,0.8278691958434818,0.0051636770839327325,11
153.9785575389862,2.864325163859342,4.521401214599609,0.02513188505744202,500,0.75,"{'RF__n_estimators': 500, 'SVR__proportion': 0.75}",0.8349097652469518,0.829358899672206,0.8203521459370778,0.8239176443357684,0.8313213371235864,0.8279719584631181,0.005211028924765296,9
180.4652237892151,5.53536817843249,4.5626527786254885,0.026703133205260292,500,1,"{'RF__n_estimators': 500, 'SVR__proportion': 1}",0.8349119411072703,0.8293933930195168,0.8204512471600593,0.8238530072728765,0.8314549025066574,0.8280128982132761,0.005212162921580976,6
